Date;username;name;tweet;replies_count;retweets_count;likes_count
2022-11-11 06:59:07 SE Asia Standard Time;denverpost;The Denver Post;Denver city leaders will dedicate a team of police officers, mental health specialists and security guards to address crime, homelessness and substance use downtown, city leaders announced Thursday.  https://t.co/TDevLNFg04;2;3;8
2022-11-11 06:59:04 SE Asia Standard Time;cheaptrickrules;Jess Harvell;@dubdobdee @bshoup in retrospect it was somehow better for my mental health;1;0;3
2022-11-11 06:59:04 SE Asia Standard Time;wwhoranghae;ela;can ppl stop posting these its not good for my mental health;0;0;0
2022-11-11 06:59:00 SE Asia Standard Time;raresmarieg;lina ?;she is my mental health;0;0;0
2022-11-11 06:58:51 SE Asia Standard Time;missambermadrid;Amber Hastings;Mental health is at a “listen to the same song for 10 hours” level if that means anything to anyone.;0;0;0
2022-11-11 06:58:47 SE Asia Standard Time;gnoweigh;Roodabega ??????????;@RonFilipkowski I know it seem snarky but I actually do have concern for her mental health. She really doesn't seem well. That also translates to concern for the people in Arizona regardless of whether she is elected or not.;0;0;0
2022-11-11 06:58:46 SE Asia Standard Time;bennymarlowe;benny marlowe;@NYRangers @SociosUSA Win for my mental health;0;0;13
2022-11-11 06:58:43 SE Asia Standard Time;nobleelijah_01;ONU??;@Dice43786731 @Mista_Mdee_ Wizkid no dey think about our mental health ??????;0;0;0
2022-11-11 06:58:41 SE Asia Standard Time;angelwashere___;Angel Hmmm ?? ???? ?? ????;"@ChristosKeeps6 @SimrPreeti @breakfasttv You claim to be a mental health advocate, yet you use the derogatory term ""wacko""? Shame on you...";1;0;0
2022-11-11 06:58:34 SE Asia Standard Time;tommy_stella;Tommy Stella;@Rosephan Yeah it seems like getting older is over all a good thing when it comes to mental health and just being able to have the freedoms you always wanted. Also we have science to make you look young so… eh?;0;0;2
2022-11-11 06:58:28 SE Asia Standard Time;fluffyman85;Brian K. Myers;@mvbrat91 Lincoln has some solid performances though too white focused on slavery discussions.  I liked Silver Linings Playbook at the time but now I am just thinking of how not very good it is at portraying mental health.;0;0;1
2022-11-11 06:58:26 SE Asia Standard Time;hen10freeman;Henrietta Freeman;@JamieQ1986 @Dr_Ellie Very true, why is she bothering wasting her time on what she calls ‘anti vaxxers’. She says about ‘mental health’ in her bio. What about the mental health of jab injured/bereaved?;0;0;1
2022-11-11 06:58:23 SE Asia Standard Time;bilbo813;bilbo13 ????;Well I just saw that this could be it for Twitter.  I can’t thank you all enough for getting me through the pandemic—seriously, it saved my mental health.  Hit me up on IG at bilbo813.  Would love to keep in touch!;3;1;34
2022-11-11 06:58:22 SE Asia Standard Time;realdougbell;Brock;Also, gun “rights” are certainly tied into the absolutely pervasive and toxic culture of male masculinity in America. I love the amount of people that raise awareness towards men’s mental health issues (I’m biased I’m a male) but that’s an important step in righting this wrong;7;0;0
2022-11-11 06:58:21 SE Asia Standard Time;hopethrivesttv;twitch.tv/YourOnlyHopeThrives;#Fitness Stream live at 4:05PM PST! Leggy Leg HYPERTROPHY LFG!!! Come fuck around and vibe out! #fat #weightloss #bodypositive #mentalhealth  https://t.co/JsUOQHqFkx;0;0;4
2022-11-11 06:58:19 SE Asia Standard Time;antifavoter;Aunt Tifa's Nephew;This last week has been great for my mental health.  Crypto crashing. The start of a GOP civil war. Ukraine fucking up Putin's army. And Elon facing the prospect of his new purchase going bankrupt.  Lololololol  https://t.co/T3nB7wAQfU;0;0;1
2022-11-11 06:58:19 SE Asia Standard Time;slothsrevenge;princess bejita.;"im so sick of mfs waiting until someone dies to preach about mental health or saying shit like ""check on your loved ones."" aint nobody care when someone is alive going through that shit tho. something doesnt add up ??";0;0;0
2022-11-11 06:58:18 SE Asia Standard Time;ohyearin;Rin;@sbyfess Dear Tolong tinggalin pacarmu  It's really not good for your mental health;0;0;0
2022-11-11 06:58:15 SE Asia Standard Time;nancy_white_;??;@redas_cherry OMG ?? it’s not good for my mental health;0;0;1
2022-11-11 06:58:15 SE Asia Standard Time;mhwshow;Mental Health & Wellbeing Show;@MaxUKNews will be exhibiting at #mhwshow on the 11th May Live in Cardiff. Their National Partnership Manager Chris Kingsbury will be also delivering a seminar: Supporting Mental Health in the Workplace. Click on the link below to reserve your FREE ticket:  https://t.co/XgN2DhVjBP  https://t.co/ITkzkJhuVs;0;2;2
2022-11-11 06:58:11 SE Asia Standard Time;realjacknj;Jack;Just going to leave this year. #Anxiety #Depression #MentalHealth #MentalHealthAwareness #MentalHealthMatters  https://t.co/0SITzx3V4R;0;0;0
2022-11-11 06:58:07 SE Asia Standard Time;lorcaborka;? Lorcan Borkman ? COMMISSIONS OPEN!;I apologize for my last tweet.   Mental health has been so fucky the past few months;0;0;1
2022-11-11 06:58:01 SE Asia Standard Time;mighmaofficial;Mighma;"For #VeteransDay weekend, starting tomorrow we will be raising money &amp; awareness for @StackUpDotOrg!  Their mission is to help support US veterans by promoting positive mental health &amp; combatting veteran suicide????   https://t.co/okv7EcIFdq  https://t.co/fungtDMMa2";1;10;12
2022-11-11 06:58:01 SE Asia Standard Time;tyrellweyland;Garrett;@flyingawxy I mostly go on twitter for the mental health support.;0;0;0
2022-11-11 06:57:59 SE Asia Standard Time;vistohlk;Head Hippie.eth;enrich the soul with this space   https://t.co/SYQKWqaqK0;0;2;4
2022-11-11 06:57:55 SE Asia Standard Time;jopawo;Jon Worthington R-FL $8 ??;@djtisacryingbit Seek a mental health advisor.;0;0;0
2022-11-11 06:57:55 SE Asia Standard Time;jackemanuel17;jack emanuel ??;@SPBMcKenna @GOP I felt it before I got cirrhosis. It took a few days to recover from strenuous activity so I know how you feel.  I get away from Twitter several times throughout the day to maintain my mental health. I always make time to laugh too.;1;0;1
2022-11-11 06:57:48 SE Asia Standard Time;quad004;Hal ramsey;@thejanasanchez It’s amazing how many of the disenfranchised vote the opposite of what they need. I think the major people issue is mental health and uneducated.;0;0;1
2022-11-11 06:57:45 SE Asia Standard Time;paul_warburton9;Bodhi 17;@Raytional are we seeing this playing out in the mental health crisis that is unfolding across the world?;1;0;1
2022-11-11 06:57:45 SE Asia Standard Time;mrmangajojo;Mr Mangajojo;@drclairetaylor @ClareRayner6 @crannaghcrud @CMO_England No amount of mental health treatment will remove the employer’s legal duty to make reasonable adjustments and to meet their Duty of Care. I am not dismissing mental health treatment but the fact is that this doesn’t make a building safe.;0;0;0
2022-11-11 06:57:43 SE Asia Standard Time;spectrumbarb;Barb Cook;"*** TOMORROW ***  Tickets still available to join Barb on Exploring Late Life Diagnosis, Supports &amp; Beyond!  #event #autisticwomen #autistic #mentalhealth #ageing #diagnosis #autism #neurodivergent #support #menopause #Training #neurodiversity #adhd   https://t.co/fVrEcpFerV";0;4;2
2022-11-11 06:57:41 SE Asia Standard Time;bartokavanaugh3;Bratt O'Kavenough??;@Sarahbobarah456 @russvought Have you been seen recently by a mental health provider?;0;0;0
2022-11-11 06:57:39 SE Asia Standard Time;out_ona_limb;Leah;"@Gellersamdaisy @JTweedleRD @albertaNDP I thought non-disabled people would finally understand how isolation &amp; segregation leads to loneliness &amp; poor mental health after being locked for only 2 years cause of covid. But nope. They learnt nothing. Still locking up disabled people for their lifetime.";1;1;2
2022-11-11 06:57:37 SE Asia Standard Time;forjeffsbible;Ro- C'est la vie????;On my way to watch LITA with my mental health intact...because it's going to ruin me...i know #LoveinTheAirFinale #LoveinTheAirEP13  https://t.co/P5VOJzxSX1;0;0;0
2022-11-11 06:57:20 SE Asia Standard Time;agfanimations;Operation AGFall - DESTROY AGF;@fyridk see what it feels like to actually have people give a shit about your mental health problems AHAHAHAHAHAHAHAHAHAHAHAHAHELPAHAHAHAHAHAHAH;0;0;0
2022-11-11 06:57:09 SE Asia Standard Time;jessica;prince lettuce;mental health care is just too exhausting to navigate I give up. do I need shamanic psychotherapy?  https://t.co/6IZ8VtIwlC;3;0;7
2022-11-11 06:57:06 SE Asia Standard Time;blackcorwin;Corwin Black;@AtlRey Suffice to say, that person surely has a lot of experience with mental health issues.;0;0;1
2022-11-11 06:56:57 SE Asia Standard Time;jmbrown87;Joe the Mo;Twitter collapsing will probably do wonders for my mental health but I'm sad cuz it's the only interaction I have with anyone. Plus I still havent got to meet any of you cuties.;0;0;5
2022-11-11 06:56:56 SE Asia Standard Time;latin_era_93;JC;I think as a culture we need to come up with normalizing  helpful things. Mental health days, meditation breaks, mental health check ups, etc. It just seems like the bare minimum at this point. This much anxiety and stress cannot be adulthood.;0;0;0
2022-11-11 06:56:55 SE Asia Standard Time;dillianthewise;Dylan ??;Been a while since I've had this bad of a day. And I don't mean mental health, I mean EVERYTHING goes wrong.;0;0;2
2022-11-11 06:56:53 SE Asia Standard Time;sakuranoseirei;Octodon.Social/@SakuraNoSeirei;"As somebody with bipolar it always amuses me to see the ables mock mental illness by saying, ""If your mental health is so bad you can't cope with seeing distressing images seek help""  Bitch, please  i) Do you know how hard it is to get…  https://t.co/eSyN2LGIHA";0;0;3
2022-11-11 06:56:52 SE Asia Standard Time;peterpanacea;Peter Panic ?;@GAG_UK Conservative voters might have to give Labour one chance in power to finally oust all the wishy washy green Tories who are mostly Conservative in name only. And to punish those who supported certain mandates and closures, crippling the economy, our mental health, etc.;0;0;0
2022-11-11 06:56:52 SE Asia Standard Time;nj_2_fl;Toni Ann ?????????;This world can be so cruel, especially to children. Hug them, talk to them and tell them you love them. I’ve seen so much this week at work (mental health).  ??  https://t.co/0TpYFNdF7y;3;6;10
2022-11-11 06:56:47 SE Asia Standard Time;bennye7;Benny Equanimity;Context for Global mental health: COVID related orphanhood and caregiver loss    https://t.co/dCfNQzS8fv;0;1;1
2022-11-11 06:56:46 SE Asia Standard Time;oqstudios;Omer;(2/2) Description: The ability to listen to our body can be found in those moments of stillness. We will remember that it's important to exercise and take care of our mental health.  Link:  https://t.co/IW9Mpb5rGT;0;0;2
2022-11-11 06:56:45 SE Asia Standard Time;susanmsul;SUSAN SULLIVAN;@Theholisticpsyc So thanks for your input. We all know how crazy professional mental health workers are?;0;0;0
2022-11-11 06:56:45 SE Asia Standard Time;c0codrillo;???????????????????;Man idk, despite me feeling way better now than I used to and not caring about mental health as much as I used to, seeing the man struggle with stuff he has goin on still makes me feel something. I legit couldnt leave someone in need alone and without any help. Whatever;0;0;2
2022-11-11 06:56:44 SE Asia Standard Time;sidneyross_;sid ?????;i need to take a trip somewhere for the sake of my mental health;0;3;9
2022-11-11 06:56:43 SE Asia Standard Time;nomoreniceguy3;Nobullhere;"Some of the mental health ""professionals"" on here....??????????? Goodnight friends ??????????  https://t.co/w6wxTfVMHX";1;0;3
2022-11-11 06:56:40 SE Asia Standard Time;ghostclownz;? Spencer;WHY IS EVERYONE I KNOW GOING TO THE HOSPITAL FOR THEIR MENTAL HEALTH I CANT BE BY MYSELF BR;1;0;3
2022-11-11 06:56:39 SE Asia Standard Time;amykayx3;ames;it’s always “we’re a family here, we care about our employees so much” until someone has a mental health crisis;0;0;2
2022-11-11 06:56:33 SE Asia Standard Time;alphamari0;Neuromancer;About 30 minutes in a talk about anxiety treatment , if you are smart you can expanded to all mental health  https://t.co/1El2tzhiBn;0;0;0
2022-11-11 06:56:24 SE Asia Standard Time;thedarkpart666;The Part That Shall Not Be Named;Normalizing the darkest parts of us through talking about experiences and sharing memes  #mentalhealth #therapytwitter #therapy #ifs #ifstherapy #internalfamilysystems #thedarkestpart #thepartthatshallnotbednamed #ifsparts  https://t.co/f7h5Ji1Y4l;0;0;0
2022-11-11 06:56:18 SE Asia Standard Time;all4laughs4me;Matt T;@Registerednark @Amont10 @davidhogg111 So the answer is to take away everything from everyone? Cus that's the OPs position. The problem isn't an item, it's a societal issue. It's a mental health issue. It's a justice system failure. But nobody wants to have that conversation.;1;0;0
2022-11-11 06:56:14 SE Asia Standard Time;castielmarks;Castiel;Have a diary. Stressed? Have a diary. Going through tough times? Have a diary. In the greatest period of your life yet? Have a diary. If it is possible, have a diary. It's actually life changing, I'm not joking. Have A  Diary! #writing #mentalhealth #diary;0;0;0
2022-11-11 06:56:13 SE Asia Standard Time;honeymosley2;Honeybeez;@ArieSafariee @Honest_BlackMan @TaashhPointOh @stillneguss @EmporiumCeo Clearly you know nothing about mental health and yeah YOUR RIGHT cause I literally battle this and alone and I do quite fine without meds now !! Your talking like it’s easy to shake without help ! What if you don’t have that what if you don’t know! Like I said;1;0;0
2022-11-11 06:56:11 SE Asia Standard Time;thepathseries;Path 11;412 Holistic Mental Health with Laura, Cheri and Kelly:  https://t.co/Au5w0oAtEd  #GuideIntuitiveWomen #SpiritualEmpowermentCoach #PsychiatricSocialWorker #SchoolSocialWorker #MentalHealthSystem #MentalHealthPractitioner;0;0;0
2022-11-11 06:56:10 SE Asia Standard Time;emeharp21;Emily Harper;Mental health is hard when you’re sick ?? Doing things that make your body and mind feel better will help!  #djimimo #mentalhealthawareness #mentalhealthmatters #selfcare #wintersadness #pomegranate #lifehack  Made with DJI phone gimbal! Find it here :)  https://t.co/JfgSiUhtui  https://t.co/2CV6LDh3FV;0;1;0
2022-11-11 06:56:09 SE Asia Standard Time;sylefane_;Goated ???????????;A nigga online all day is irritating, save your mental health by switching to a man who don’t care too hard to be seen or heard online.;0;0;0
2022-11-11 06:56:07 SE Asia Standard Time;lmariaca2016;Liliana Mariaca;Bibliocounseling. Mental health literacy.  https://t.co/SjMSMWVQbH;0;0;0
2022-11-11 06:56:00 SE Asia Standard Time;kazoofus;Kathy Howe;"@StreetTheorist The end of your study session is approaching.  I hope it went well &amp; you powered through!  I took myself out for am adult beverage tonight &amp; declared tomorrow a vacation day. Mental health reset needed.";1;0;1
2022-11-11 06:56:00 SE Asia Standard Time;robomccoy;Dr. Leonard McCoy;I'm not a mental health social worker, Spock, just an old country doctor.;1;0;0
2022-11-11 06:55:56 SE Asia Standard Time;masatotoys;Masato;@Potheadpolitic Someone should do one about how the THREAT/PROPAGANDA of global warming affects mental health;1;0;1
2022-11-11 06:55:55 SE Asia Standard Time;mrarsenal_dave;Dave;@haringeycouncil My mental health and quality of life has been effected by your stupid LTNs I’m thinking of giving up work and signing on for the 1st time. Because if this carries on I’m worried what I might do to myself. Thanks Harringey.;0;0;0
2022-11-11 06:55:54 SE Asia Standard Time;screaminkid;????screaminkid;@Just_Mel2 Get another pet! You need one for your mental health?;0;0;1
2022-11-11 06:55:53 SE Asia Standard Time;jewls_family;Family Jewls;@WGEA @GovMikeDeWine The amount of state funds used improperly is horrendous.  For State of Ohio employees working in mental health, they denied hazard pay during Covid - stating it wasn’t an “emergency” or “state of emergency” then using those funds elsewhere.  Where did it all go?!?;1;0;1
2022-11-11 06:55:49 SE Asia Standard Time;max_power_;Max ? Power ??????;@JFClaudeMSM @MEWH A lot of mental health issues can be treated with lifestyle changes, exercise, meditation, therapy, or self discovery and reflexion. Pills are easier.;0;1;0
2022-11-11 06:55:47 SE Asia Standard Time;thewillcleaver;Will Cleaver;We all have made mistakes.  Maybe not as big as this.   But let’s remember it’s #Movember year round, and mental health is everything.   Regardless of the outcome, I hope everyone involved with this, is ok.;3;7;42
2022-11-11 06:55:45 SE Asia Standard Time;linklevosstwins;18 Decimals;@AlgodTrading Keep your head up brother. Don’t let them rob you of your mental health.;0;0;1
2022-11-11 06:55:44 SE Asia Standard Time;drwhofan_194;David Cann;"This is not a good night for one of the primary things that is intrinsically linked to my ocpd to be Twitter-dot-com. Apologies if I mute some of you for a bit but doomerism &amp; panic does not good mental health for me make.";0;0;1
2022-11-11 06:55:43 SE Asia Standard Time;sptchr85;SBP ?? ????????????????????;@RobinIller @TLT16 @US_FDA My first teaching job was in a pediatric psych. hospital and I have worked with kids with mental health challenges for decades. My goal is for my son to be able to manage his depression and anxiety with as few medications as necessary.;0;0;1
2022-11-11 06:55:35 SE Asia Standard Time;thebmetro;BMetro;COMMENT: Society needs more education on mental health conditions  https://t.co/DkYofdUy9r;0;0;0
2022-11-11 06:55:26 SE Asia Standard Time;im_drumk;DarknesS (spooky, I guess);Also priorities. Gotta finish my zine work and my mental health demands sacrifices;1;0;4
2022-11-11 06:55:24 SE Asia Standard Time;healthyubc;Healthy UBC;Learn to become a Not Myself Today ambassador and create a mental health stigma-free workplace on November 24, 12-1 pm  https://t.co/dHmmOPUbPE  https://t.co/OXCrJcnlDD;0;0;0
2022-11-11 06:55:20 SE Asia Standard Time;mhwshow;Mental Health & Wellbeing Show;@CAVUHB will be exhibiting at @mhwshow 2023  Come and visit them at stand 06.   We aim to bridge the gap between mental health and physical health of people across Cardiff and Vale.   Click the link below to get your FREE tickets:  https://t.co/XgN2DhVjBP  https://t.co/LoRoBIqWw6;0;2;2
2022-11-11 06:55:19 SE Asia Standard Time;ethanhuntwriter;Ethan Hunt;@KevinAMcKeehan Dustin and his son Damon are moving to a rural town to give mom time and space to focus on her mental health. But what healing are they in need of, and what part will an injured stray dog from the movies play in their lives?  Free on #KindleUnlimited   https://t.co/w40ylRS8CD;0;0;4
2022-11-11 06:55:18 SE Asia Standard Time;ghostoflou91;alda! is proud of louis ??? | fan account;i did not expect this from fitf but it totally ruined my mental health  i would 100% recommend 28/10;0;0;0
2022-11-11 06:55:10 SE Asia Standard Time;racheladamsmith;Rachel #unpaidcarer;"@mmcparl @lensawag1 You just get told that you have a mental health issue by some random person that’s only just met you and knows nothing about you, simply because you are advocating for your child &amp; are distressed by the professionals inability to acknowledge your child is ill.";1;1;5
2022-11-11 06:55:06 SE Asia Standard Time;maggie_tbaker;Maggie Baker;Chris Palmer, MD, of Harvard Medical School — Optimizing Brain Energy for Mental Health, The Incredible Potential of Metabolic Psychiatry, Extraordinary Case Studies, and Harnessing Mitochondria for Anxiety, Depression, OCD, PTSD, and More (#633)  https://t.co/LjactYMwdJ  https://t.co/6veRLURbIp;0;0;0
2022-11-11 06:55:05 SE Asia Standard Time;snipnutri;?? SNiP Nutrigenomics;Nutritional psychiatry shows us the impact of food on mood. This @FortuneMagazine article highlights foods that boost happiness. Hint: add turmeric and almonds your shopping list!  https://t.co/7daXRB2hTf #food #happiness #nutrition #depression #mentalhealth;0;0;0
2022-11-11 06:55:05 SE Asia Standard Time;foodiefarmacist;Lara Zakaria PharmD MS CNS IFMCP;??ATTN Pharmacists looking for CEs in FxMed!   Register here:  https://t.co/YEIqX11QaL  #functionalmedicine #pharmacists #mentalhealth  https://t.co/LFe4k43cxD;0;0;0
2022-11-11 06:55:04 SE Asia Standard Time;marlseyr;Marlene Raji;Day 4 MHST Op Manager: When your lead ed clinician likens your joint work with the other 2 Op Managers to #TheAvengers - yep we are a force to be reckoned with - Avengers assemble (when you know you know ??) #supportingCYP #mentalhealth #nelft  https://t.co/IgrTuscCqd;0;0;3
2022-11-11 06:54:52 SE Asia Standard Time;davidelliott___;Peer-reviewed Hot Takes;@JoeyRumfield @robbie71w @36223mike That was my understanding, it is not like crossing is easy. Takes all of your physical and mental health.;1;0;2
2022-11-11 06:54:49 SE Asia Standard Time;khall_books;Kilburn Hall;Mary, Mary, quite contrary. Oh, just shut it. Seek the mental-health help you need.  https://t.co/waSi0pU0jW;0;0;0
2022-11-11 06:54:48 SE Asia Standard Time;acaitlyn14;vaccinated freak;@recoveredequest Honestly my husbands mental health is better doing 14 12s, with 14 days off, then it ever was on a “traditional” schedule. And he has soooo much more time we have;2;0;1
2022-11-11 06:54:47 SE Asia Standard Time;officialhyve;"No Escape out NOW; HYVE";@OfficialNo44 @Ghastly Actually June is for men’s mental health. No Nut November was an actual thing a while ago to raise awareness for prostate cancer, it’s just became a meme now.;1;0;1
2022-11-11 06:54:47 SE Asia Standard Time;mansmashglasses;TourGuide_105;Joe Biden Shirt, FJB LGB, Let's Talk About Mental Health Graphic Tee  #lgb #biden #talk #joe #fjb #shirt #Graphic #Mental #ParodyBossDesigns #EtsySeller  https://t.co/3cbKVl11o5;0;0;0
2022-11-11 06:54:45 SE Asia Standard Time;brndmethod;brndMethod.eth;"A skincare brand ""also committed to raising awareness around the connection between mental health and skin conditions."" ??????  Find out how your brand can become one of the most loved and fastest-growing brands too. ??  #founder #foundertips";0;0;0
2022-11-11 06:54:41 SE Asia Standard Time;fallininjw;aye;Le mande a mi mamá que una de la iglesia le mandó saludos y ya empezó a tirar malos comentarios hacia el esposo???????? my mental health? Clavarle el visto;0;0;0
2022-11-11 06:54:26 SE Asia Standard Time;_hawss;hawi’sha;They did not care about Cole’s mental health idc #JusticeForCole #LOVEISBLINDreunion everyone else can get in the bin, he said two wrong things he did NOT need to apologise to ANYONE of those cows on stage;0;0;3
2022-11-11 06:54:25 SE Asia Standard Time;ennahauthor;Enna Hawthorn;I’ve stopped coming on here a lot due to wanting to take care of my mental health - I get too caught up in things here and it messes with me. I’ve been much happier, but I miss my people here. ??;1;0;9
2022-11-11 06:54:18 SE Asia Standard Time;fuckinsubmarine;The Fucking Submarine;@SaveYourSons That’s it’s ok to cry sometimes and don’t bottle up your emotions,it took me so long to understand this because family and society made me think otherwise when dealing with my emotions/mental health;0;0;0
2022-11-11 06:54:07 SE Asia Standard Time;metalhealthnew1;Metal-Health.news;"r/mentalhealth – a support, healing, &amp; hangout discord server  https://t.co/4uGHkQ8VrP";0;0;0
2022-11-11 06:54:05 SE Asia Standard Time;depthsetter1309;depthy;Why is everything/everyone always so stressful i just want to live my life in peace for my physical and mental health ?? #MentalHealthMatters;0;0;0
2022-11-11 06:54:00 SE Asia Standard Time;baisd;BAISD;Bay-Arenac ISD is hiring a Mental Health Counselor/Social Worker (31n Grant Funded).   Please visit  https://t.co/7D7FFpw4s0 to apply!!  Contact Becky Smith at 989-667-3201 if you have any questions.  https://t.co/OnMHHmgA37;0;0;1
2022-11-11 06:53:56 SE Asia Standard Time;itgirlmaani;?? ?? ??;"I let so much off my chest with my Chinita at our outing.. I feel so good, I let our tears &amp; all. Please have talks with your people you trust  about problems and things that bother you. Your mental health is important. ??";0;0;3
2022-11-11 06:53:48 SE Asia Standard Time;daparian;Daparian Foundation CIC;"Privileged &amp; proud to attend The Royal Regiment of Fusiliers Officers Mess at The Tower of London, to discuss veteran mental health issues in such company, and to see the Ceremony of the Keys too! Thanks @irwinmitchell @AndrewBuckham22. Great seeing you @caz_paige #veteranptsd  https://t.co/T2XT4OUjyl";1;1;9
2022-11-11 06:53:36 SE Asia Standard Time;syndicate_fx;FX SYNDICATE;@Saint_prime09 Sorry brother I have stopped answering dms to prioritize my mental health and blood pressure - if im ever on a space and you tune in, you're more than welcome to bring it up ????;0;0;1
2022-11-11 06:53:35 SE Asia Standard Time;noahbrand1;Noah Brand;Nobody trends on this site because their life and mental health are going well.  @elonmusk being Exhibit A, but today here's B and C.  https://t.co/qN8ecjnoDk;1;0;1
2022-11-11 06:53:22 SE Asia Standard Time;icybitch4;Joe Mama;@sheedabp @KimberlyNFoster The documentary was about her mental health not her kidney.;0;0;0
2022-11-11 06:53:22 SE Asia Standard Time;luxumbreon;lux the Umbreon;No art today dealing with some mental health stuff;0;0;2
2022-11-11 06:53:21 SE Asia Standard Time;thebmetro;BMetro;Making mental health a priority  https://t.co/AfD78OhIeK;0;0;0
2022-11-11 06:53:15 SE Asia Standard Time;polymouthctb;@PolymouthCTB;Anti depressant pill BOT #mentalhealth #MentalHealthDay #MentalHealthMatters #MentalHealthAwareness #mentalhealthday2022 #mentalhealthsupport #nft #NFTGiveaways #NFTCommunity #NFTFam #NFTartist #artistsontwitter #Artists #artist #BOTS #robot  https://t.co/SrP8oSdo5O;1;0;5
2022-11-11 06:53:14 SE Asia Standard Time;shywoodelf;Depress Express;My mental health is being held by the tiniest thread and @DisneyDLV will not stop crashing every 20 minutes;1;0;1
2022-11-11 06:53:12 SE Asia Standard Time;chris_dlamini;Christopher Z. Dlamini he/him;At some point we need to have honest reflective conversations about why undergraduate nursing curricular year on year is front-loaded with adult nursing content. Are child, learning disability and mental health nursing add-ons? Are we short-changing future nurses? #OpenTalking;0;0;6
2022-11-11 06:53:10 SE Asia Standard Time;meggino;Megan Gino;Jk I cried in both episodes I watched and have determined this is not a good choice for my mental health;1;0;1
2022-11-11 06:53:08 SE Asia Standard Time;chrisnoto;Chris Noto ??????;AFAIK, there is no correlation between intelligence/achievement, and mental health.;0;0;0
2022-11-11 06:52:59 SE Asia Standard Time;shxwndoo;Shawn;mental health days are so important, never forget that;0;0;1
2022-11-11 06:52:57 SE Asia Standard Time;sophiarry_;sophia?? 70 || 264;i actually don’t know if my mental health could handle that;1;0;0
2022-11-11 06:52:56 SE Asia Standard Time;philbertdan;Dan Philbert;@nationalpost She looks totally in good mental health. Probably a heavy @JustinTrudeau supporter as well.;0;0;2
